"geometry";"rivers";"model_type";"stat";"X";"Y";"alt";"id"
"204";c(3809999.44769197, 2402557.96760827, 790);"Lot";"M2";"Up";3809999.44769197;2402557.96760827;790;"Upper_point"
"205";c(3721967.39774399, 2423344.10277333, 209);"Lot";"M2";"Est";3721967.39774399;2423344.10277333;209;"Lower_point"
"206";c(3722336.65625538, 2423210.74535586, 216);"Lot";"M2";"Low";3722336.65625538;2423210.74535586;216;"Lower_point"
"207";c(3721641.61127975, 2423059.13040859, 210);"Lot";"M2";"Up";3721641.61127975;2423059.13040859;210;"Lower_point"
"208";c(4040497.61063842, 3129653.91341811, 13);"Maas";"M1";"Est";4040497.61063842;3129653.91341811;13;"Only_point"
"209";c(4039121.64500022, 3127248.01909756, 23);"Maas";"M1";"Low";4039121.64500022;3127248.01909756;23;"Only_point"
"210";c(4041544.56272824, 3132072.52461414, 20);"Maas";"M1";"Up";4041544.56272824;3132072.52461414;20;"Only_point"
"211";c(4005615.07936958, 2832404.02102314, 257);"Maas";"M2";"Est";4005615.07936958;2832404.02102314;257;"Upper_point"
"212";c(4004870.75517939, 2831643.85057226, 257);"Maas";"M2";"Low";4004870.75517939;2831643.85057226;257;"Upper_point"
"213";c(4006125.91067801, 2833041.4122372, 256);"Maas";"M2";"Up";4006125.91067801;2833041.4122372;256;"Upper_point"
"214";c(4054085.29664222, 3147092.13092761, 9);"Maas";"M2";"Est";4054085.29664222;3147092.13092761;9;"Lower_point"
